packet_len_norm,src_port_norm,dst_port_norm,payload_len_norm,proto_tcp,proto_udp,proto_icmp,tcp_syn,tcp_ack,tcp_fin,tcp_rst,label
0.9023531,0.77568567,0.2252072,0.30016628,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.830167,0.79706943,0.46793497,0.30303243,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.64107025,0.98896015,0.2153087,0.16021204,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.083896264,0.5148888,0.466206,0.9171678,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.24057639,0.3695363,0.003734242,0.8300477,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8863155,0.50979084,0.84715027,0.63971716,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.10628906,0.3876318,0.32303634,0.15019973,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19324861,0.44031346,0.23956396,0.4024983,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25425383,0.67176515,0.30042008,0.874077,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.8528206,0.9449482,0.9039168,0.56971914,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5912096,0.37628785,0.41095528,0.23948921,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4943437,0.5476352,0.3221633,0.7513249,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07883278,0.122892104,0.96714824,0.65776074,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5431436,0.7652474,0.90917933,0.15106228,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.06355763,0.62846196,0.79302365,0.5130036,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23859508,0.36312696,0.17940603,0.34606144,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5397465,0.52116615,0.8965405,0.7427674,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.8842785,0.41164616,0.9227596,0.06871535,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6481411,0.9715607,0.33268145,0.39827555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25226277,0.9154644,0.84016883,0.11240574,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.6466958,0.6352262,0.1838894,0.06186542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8838068,0.52330416,0.9156354,0.04665224,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29013026,0.24856977,0.006790265,0.5670558,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
0.821008,0.6580261,0.6107508,0.19125268,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.35210302,0.112716995,0.6266118,0.7974582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.59495914,0.63874996,0.60933423,0.09624568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.89830035,0.16151233,0.02670235,0.65080744,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9475643,0.37931964,0.25277454,0.45651004,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.40313774,0.53952163,0.21505778,0.2474096,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7750219,0.13107899,0.051712826,0.13068424,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.46307275,0.88392246,0.051712826,0.71088153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7695869,0.1908382,0.26623723,0.53612006,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.9969326,0.93917996,0.8430251,0.7771158,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22522336,0.7594945,0.75769067,0.72129524,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44878238,0.033339236,0.8443201,0.5423699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18092534,0.7603733,0.99294883,0.14798816,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21796718,0.57495296,0.44627303,0.7503922,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.34812018,0.31223068,0.051712826,0.45501748,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16866106,0.033023924,0.5033364,0.12313366,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.31880522,0.5161612,0.6285336,0.5362081,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9445117,0.23066719,0.9699076,0.20781767,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.9192081,0.04052886,0.051712826,0.5999747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.85720867,0.6814767,0.7356831,0.3016445,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20754543,0.9194558,0.59664285,0.32943413,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.538743,0.091554075,0.9654277,0.57537603,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.444334,0.69212115,0.8350553,0.33507603,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.9604325,0.4686698,0.40907085,0.7204447,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.48017865,0.63107294,0.550747,0.0741611,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.72194964,0.553459,0.80704576,0.46581617,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.69418705,0.64182836,0.40612873,0.55832344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41140866,0.46662116,0.7554571,0.5036558,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41191447,0.8447291,0.7852404,0.4472888,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42030847,0.8603337,0.57953936,0.5578258,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
